"","X","Actual_Popularity","rmse","Lasso_regression","Ridge_regression","Single_tree","Pruned_tree","Boosting","Bagging500","Bagging1000","Bagging1500","Bagging2000","RF500"
"509",509,3,9.57224825360214,12.5480873654577,12.7106130500847,14.2463768115942,14.2463768115942,12.6625056567254,11.6241,11.63015,11.7034555555556,11.6162416666667,13.1506333333333
"510",510,28,1.87243041641886,27.6439782146962,28.1710118084318,24.7066795740561,24.7066795740561,28.639588031138,30.129,29.5768142857143,29.4745761904761,29.6688738095237,29.2431111111111
"511",511,46,11.3696298727709,30.4497541727137,30.6218517323045,30.4461193072482,30.4461193072482,32.8746599289364,39.4138333333334,39.5669833333333,38.9992666666667,38.805525,38.9118222222222
"512",512,10,11.6136328009226,25.6572071017843,25.7374528757303,23.4872881355932,23.4872881355932,22.6979879519334,18.7213,18.8887166666667,18.4546888888889,18.6648333333334,19.4372666666667
"513",513,31,2.39373056066269,27.1013832473896,27.1473759959213,30.4461193072482,30.4461193072482,27.623101596639,29.4319666666666,29.3108333333334,29.1894111111111,29.0964333333334,28.7343666666667
"514",514,5,23.9955053504955,27.8840567817098,27.6540480213372,30.4461193072482,30.4461193072482,27.4460733118194,29.4212,29.4385166666667,29.0212555555555,28.9778083333333,29.0286809523809
"515",515,49,19.8578005641554,32.5965333699762,33.0878419140978,23.4872881355932,23.4872881355932,24.5157344412072,32.6981666666667,31.2427047619048,30.978292063492,30.9662523809524,30.0838
"516",516,37,9.35165424535526,26.7730575404973,26.6956588499824,24.7066795740561,24.7066795740561,24.9405890659069,30.9805666666667,29.7502,29.9407222222222,29.8511666666666,29.0817333333333
"517",517,19,8.43614624513515,26.9151791886436,26.2267520525216,30.4461193072482,30.4461193072482,27.4915399344207,26.6660238095238,26.3502714285714,26.4538809523809,26.2494023809524,26.7706
"518",518,30,2.90748421684429,32.3820711579023,32.9718384291314,24.7066795740561,24.7066795740561,32.2781949993902,28.0054333333333,29.2928333333333,28.7605555555555,29.138675,26.8767
"519",519,43,16.376256923292,28.0473098411765,27.21703349574,23.4872881355932,23.4872881355932,25.0047549646817,28.6791333333333,27.8396666666667,27.6458428571429,28.1439654761905,26.2692666666667
"520",520,6,9.11662388325522,17.6987344166248,17.430444521994,14.2463768115942,14.2463768115942,17.247945484851,14.4268666666667,13.3759833333333,13.6219555555556,13.82785,14.8398
"521",521,16,6.41721273416651,18.6872722311654,18.2323476014011,30.4461193072482,30.4461193072482,20.3640413398335,15.0991333333333,15.0788666666667,15.1058333333333,15.0417666666667,16.2458
"522",522,14,6.89824723492141,22.3564179328155,22.0482269570443,23.4872881355932,23.4872881355932,21.0807137765495,19.2760666666667,18.69545,18.4480571428571,18.6662011904762,20.7431666666667
"523",523,31,9.67858405473269,20.0752180395362,19.4722523754756,23.4872881355932,23.4872881355932,21.2110821823177,21.7008333333333,20.9008833333333,20.9755111111111,20.9669666666667,22.1005666666667
"524",524,16,10.2728387628021,27.7037651981039,27.7992988552317,30.4461193072482,30.4461193072482,26.1134650240716,23.2294333333333,23.5836666666667,23.6392444444444,23.6052416666666,25.0091476190476
"525",525,4,7.42232307826819,12.3129104945528,11.4329502031348,15.9303079416532,15.9303079416532,9.8581208170774,8.2198,8.90423333333334,8.90051111111112,8.78706666666668,11.1385666666667
"526",526,38,8.00924486697089,26.6575942019746,26.6976560108991,30.4461193072482,30.4461193072482,31.9610516050201,31.7425,31.0688333333333,30.5295777777778,30.4717,31.4970333333333
"527",527,35,4.98526792088877,29.5969433959458,29.8487078427568,30.4461193072482,30.4461193072482,30.4346233536157,30.1053333333333,30.69505,29.8910111111111,29.8723916666667,29.1555285714286
"528",528,10,14.2370961463791,24.7859627128086,24.8040330786105,23.4872881355932,23.4872881355932,24.324927787031,24.1278333333333,24.4277642857143,24.6380650793651,24.5935619047619,23.2238172161172
"529",529,53,23.7734725043095,31.0401315971187,31.5116120846262,30.4461193072482,30.4461193072482,28.6316212944185,27.8692333333333,27.9002666666667,28.2856888888889,28.1891583333333,29.3717666666667
"530",530,26,5.71221988998981,15.2109989364229,14.4657934255624,23.4872881355932,23.4872881355932,24.0713188500133,21.6539333333333,22.1894666666667,21.7418777777778,21.66645,23.9907904761905
"531",531,17,9.31979953161056,25.0834812606415,24.9737271095874,30.4461193072482,30.4461193072482,25.3616246951196,25.0815666666667,25.5503166666667,25.4231,25.0955916666667,24.3867333333333
"532",532,32,2.16368231454104,30.9629307789569,30.8744668631862,30.4461193072482,30.4461193072482,28.7361866014522,29.6001666666667,29.9321333333333,29.7354904761905,29.7095678571428,29.1685
"533",533,17,2.71956098939675,19.2836380383417,18.9903669308245,15.9303079416532,15.9303079416532,16.913582354962,13.3898,13.2619,13.2726222222222,13.404875,15.2298333333333
"534",534,27,6.35236984480051,27.4911636211602,27.6030892048314,30.4461193072482,30.4461193072482,28.7758533993943,18.2862,18.46125,18.5735333333333,18.5496476190476,19.671580952381
"535",535,14,5.09692129463948,18.4286280052956,18.2601682758372,19.1567877629063,19.1567877629063,17.5357226304946,18.7984,19.7094833333333,19.6781523809524,19.8071059523809,19.1968666666667
"536",536,4,25.5729534488664,26.1987975392986,26.3195461999579,30.4461193072482,30.4461193072482,26.8146246049348,30.4768,31.1374,31.0857888888889,31.0402,29.4959
"537",537,9,20.8960520732223,29.4544798885963,29.8882064771447,30.4461193072482,30.4461193072482,30.1211137088958,29.7161666666667,29.90395,29.4515444444444,29.6428916666667,30.1130333333333
"538",538,28,5.15941171368799,32.9908292809188,33.0080954089447,30.4461193072482,30.4461193072482,30.9766024139881,34.1494666666667,33.9107833333333,33.8102444444444,34.1021583333333,34.4041666666667
"539",539,34,1.62978628472054,33.5994124943406,34.5144964679982,30.4461193072482,30.4461193072482,32.4752963856576,33.194,34.1048,33.9215809523809,33.8839940476191,33.2827
"540",540,55,22.7385145510679,30.6150157262954,30.524810339675,30.4461193072482,30.4461193072482,33.5898530183606,33.7935666666667,33.2140166666667,33.1277,33.2513630952381,33.0716666666667
"541",541,14,16.5225143842078,29.8232647070237,29.7989175333549,30.4461193072482,30.4461193072482,30.7394804728165,30.3979,30.6582333333333,30.6396444444445,30.6888154761905,31.3634142857143
"542",542,26,3.65336645766259,30.9566970387612,30.8994032356322,30.4461193072482,30.4461193072482,29.7024716391854,28.0119333333333,28.8338785714286,29.0634174603175,28.9400785714286,28.4998619047619
"543",543,18,10.3504141899614,29.5616777312973,29.4815398060906,30.4461193072482,30.4461193072482,27.3417997072792,26.4404,26.9991857142857,27.2854312169312,27.1814317460317,28.4317
"544",544,20,13.2413945755313,31.9750833670241,31.1884330872799,30.4461193072482,30.4461193072482,37.0744599323143,34.5915333333333,33.8179,33.7472,33.6646,33.5661666666666
"545",545,32,8.99511279381725,22.6490504618861,22.1656003798687,19.1567877629063,19.1567877629063,21.8643785769541,25.6427,25.5728166666667,25.7366,25.8277,23.2764
"546",546,4,13.6113907937195,19.4102126492064,18.6649083447869,24.7066795740561,24.7066795740561,13.6537010680822,13.7759,13.66915,13.7959888888889,14.0258166666666,16.1923
"547",547,20,11.5447845092078,30.1352442875236,30.2354098978767,30.4461193072482,30.4461193072482,32.7951749525772,32.9938666666667,32.0060916666667,31.7774944444444,31.8645958333333,31.9759333333333
"548",548,60,27.4145414450173,30.6761182108522,30.8172743424335,30.4461193072482,30.4461193072482,36.066662768287,33.4806,33.3401095238095,33.4400285714286,33.3384464285714,33.6409269230769
"549",549,24,8.27214289019125,20.1311921276683,19.4397546580389,15.9303079416532,15.9303079416532,18.4876097837103,14.1199,13.84445,13.9554666666667,14.0395083333333,16.4996666666667
"550",550,25,3.26803653426872,22.1634154751131,22.1003152423131,19.1567877629063,19.1567877629063,19.582874491759,26.3098666666667,25.4701333333333,25.5922444444444,25.2481333333333,24.0079666666667
"551",551,1,16.3519422314006,19.8571600905308,20.0072578416878,15.9303079416532,15.9303079416532,15.2737171089939,17.9160333333333,17.1386333333333,17.0748222222222,17.3004833333333,16.4399333333333
"552",552,19,13.3495336862594,30.6270447211369,30.5849167164101,30.4461193072482,30.4461193072482,32.1008736430583,33.8859666666667,34.0525666666667,33.8213476190476,33.765294047619,31.3846666666667
"553",553,47,15.9254107244977,31.7777333171111,32.2682449004202,23.4872881355932,23.4872881355932,29.6670501915548,34.7721333333333,34.4430333333334,34.5235904761905,34.5798345238096,34.2110428571429
