"","Artist","Album_Name","Track_Title","Track_Id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Y"
"43","Shinhwa","SHINHWA 9th (White Edition)","Voyage","7cOkbmHRfbcto6Yy27SlgO",0.454,0.636,2,-5.241,1,0.0613,0.0662,0,0.12,0.386,94.859,240040,4,6
"44","Shinhwa","SHINHWA 9th (White Edition)","흔적 (Destiny Of Love)","3exDVMT021y87GHTpmvK54",0.656,0.713,3,-4.902,0,0.0382,0.183,0,0.335,0.523,122.005,295590,4,14
"45","Shinhwa","SHINHWA 9th (White Edition)","다시 한 번만","33RfsErMsShRSVDLD8Qv00",0.637,0.547,0,-5.34,0,0.0302,0.536,0,0.172,0.304,99.006,260293,4,4
"46","Shinhwa","SHINHWA 9th (White Edition)","Free Style #1","1SdqsO3lcx223dPDEIytek",0.869,0.608,2,-8.355,1,0.909,0.194,0,0.467,0.74,91.918,50440,4,2
"47","Shinhwa","SHINHWA 9th (White Edition)","Run","7yPLXx6ypI3U8juTmDv1HL",0.772,0.947,10,-3.692,0,0.099,0.121,0,0.277,0.691,120.013,216680,4,6
"48","Shinhwa","SHINHWA 9th (White Edition)","2 Ma Luv...","7lzLkBIrlm2YVt5oiLrAuQ",0.647,0.854,1,-3.767,1,0.0356,0.0847,0,0.352,0.611,99.977,208720,4,2
"49","Shinhwa","SHINHWA 9th (White Edition)","We Can Get It On","1rsHzK2nGBoOdWfnTyUsZq",0.785,0.809,6,-4.85,1,0.0573,0.0727,0,0.3,0.467,94.933,262667,4,2
"50","Shinhwa","SHINHWA 9th (White Edition)","So In Love","2716sioZXNX0FTPqzAZgxN",0.791,0.806,11,-3.109,0,0.0328,0.186,0,0.29,0.719,110.03,207587,4,3
"51","Shinhwa","SHINHWA 9th (White Edition)","기억나니?","4syCto22AONeCdEbCt0XOQ",0.534,0.62,11,-8.617,1,0.828,0.66,0,0.565,0.682,61.877,312293,4,1
"52","Shinhwa","SHINHWA 9th (White Edition)","아직 못다한 이야기","6hCpLIn8XrkgFs5BwHUol3",0.76,0.354,9,-8.764,1,0.0328,0.823,0,0.116,0.697,88.002,233933,4,2
"53","Shinhwa","SHINHWA 9th","Last Train Home","18lohUbY6fJhS4GeE6LomJ",0.513,0.491,0,-17.53,1,0.0355,0.0736,0.734,0.321,0.24,95.015,66547,4,5
